extendedPadding, resizeDimensions, randRot, colorJitter, imgPerspective, batchSize, weightDecay, learningRate, activationFunction, epochs, TrainingAcc, ValAcc, TrainingAccSD, ValAccSD, FINAL_TEST_ACCURACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,(224,FALSE,TRUE,TRUE,16,0.001,0.0001,reLU6,30,0.982372144,0.977826087,0.031105799,0.031259025,[0.7458333333333333,0.866666667,0.825,0.85,0.825,0.833333333,0.808333333,0.833333333,0.770833333,0.841666667,0.8,0.745833333,0.8125,0.8,0.783333333,0.829166667,0.6625,0.829166667,0.816666667,0.7625,0.841666667,0.745833333,0.820833333,0.854166667,0.841666667,0.7875,0.816666667,0.833333333,0.841666667, 0.7791666666666667],,
TRUE,(224,FALSE,TRUE,TRUE,16,0.001,0.0001,reLU6,30,0.981141304,0.971304348,0.030322288,0.046389491,[0.8130434782608695,0.909565217,0.859130435,0.885217391,0.88173913,0.95826087,0.995652174,0.980869565,0.99826087,0.974782609,0.990434783,0.992173913,0.995652174,0.991304348,0.973043478,0.997391304,0.996521739,0.973913043,0.988695652,0.993043478,0.999130435,0.892173913,0.966956522,0.99826087,0.999130435,1,1,1,0.95826087, 0.9843478260869565],,*****
FALSE,(180,FALSE,TRUE,TRUE,16,0.001,0.0001,reLU6,30,0.993171926,0.993043478,0.010641709,0.011033546,[0.8208333333333333,0.820833333,0.8,0.779166667,0.816666667,0.841666667,0.695833333,0.829166667,0.795833333,0.845833333,0.8125,0.820833333,0.841666667,0.754166667,0.791666667,0.795833333,0.804166667,0.775,0.829166667,0.816666667,0.829166667,0.829166667,0.829166667,0.8125,0.829166667,0.841666667,0.791666667,0.7875,0.775, 0.7541666666666667],,
FALSE,(224,FALSE,TRUE,TRUE,16,0.001,0.0001,reLU6,30,0.992192601,0.995217391,0.009423602,0.006579455,[0.7708333333333334,0.8,0.770833333,0.7375,0.808333333,0.7875,0.8125,0.8125,0.829166667,0.8125,0.8125,0.833333333,0.825,0.820833333,0.779166667,0.745833333,0.833333333,0.833333333,0.833333333,0.854166667,0.833333333,0.795833333,0.8375,0.825,0.7625,0.795833333,0.816666667,0.854166667,0.820833333, 0.7958333333333333],,
FALSE,(250,FALSE,TRUE,TRUE,16,0.001,0.0001,reLU6,30,0.991022851,0.986956522,0.010925509,0.015310276,[0.8541666666666666,0.829166667,0.845833333,0.7875,0.791666667,0.8125,0.8,0.775,0.8,0.8125,0.7625,0.783333333,0.804166667,0.725,0.816666667,0.695833333,0.845833333,0.829166667,0.791666667,0.795833333,0.754166667,0.808333333,0.7875,0.745833333,0.754166667,0.816666667,0.808333333,0.691666667,0.795833333, 0.8],,
FALSE,(224,TRUE,TRUE,TRUE,16,0.001,0.0001,reLU6,30,0.998190968,0.997391304,0.002993032,0.00443393,[0.7791666666666667,0.670833333,0.791666667,0.820833333,0.8625,0.808333333,0.7375,0.816666667,0.816666667,0.833333333,0.816666667,0.779166667,0.833333333,0.8625,0.854166667,0.8375,0.7,0.8125,0.720833333,0.85,0.825,0.829166667,0.8625,0.825,0.820833333,0.820833333,0.829166667,0.841666667,0.8125, 0.8625],,
FALSE,(224,TRUE,TRUE,FALSE,16,0.001,0.0001,reLU6,30,0.99991839,1,0.000244831,0,[0.7666666666666667,0.85,0.8375,0.841666667,0.833333333,0.841666667,0.816666667,0.8,0.775,0.854166667,0.808333333,0.8375,0.816666667,0.8125,0.8125,0.816666667,0.816666667,0.866666667,0.870833333,0.85,0.829166667,0.85,0.845833333,0.808333333,0.833333333,0.85,0.820833333,0.833333333,0.845833333, 0.7833333333333333],,
FALSE,(224,TRUE,FALSE,TRUE,16,0.001,0.0001,reLU6,30,0.983297062,0.981304348,0.033197434,0.03473094,[0.7875,0.779166667,0.816666667,0.729166667,0.829166667,0.825,0.858333333,0.741666667,0.825,0.820833333,0.858333333,0.8375,0.795833333,0.7375,0.841666667,0.725,0.8375,0.825,0.829166667,0.825,0.766666667,0.820833333,0.833333333,0.825,0.791666667,0.8,0.779166667,0.8125,0.8375, 0.8458333333333333],,
FALSE,(224,TRUE,FALSE,FALSE,16,0.001,0.0001,reLU6,30,0.959303591,0.927391304,0.069435224,0.080453582,[0.7708333333333334,0.8,0.783333333,0.858333333,0.779166667,0.808333333,0.833333333,0.829166667,0.816666667,0.804166667,0.845833333,0.795833333,0.829166667,0.85,0.754166667,0.845833333,0.829166667,0.820833333,0.8,0.833333333,0.645833333,0.7375,0.808333333,0.8375,0.529166667,0.833333333,0.720833333,0.833333333,0.820833333, 0.7791666666666667],,
FALSE,(224,FALSE,TRUE,TRUE,16,0.001,0.0001,reLU6,30,0.98835691,0.986956522,0.020422116,0.021031977,[0.8333333333333334,0.825,0.866666667,0.841666667,0.8375,0.791666667,0.85,0.795833333,0.779166667,0.841666667,0.829166667,0.8125,0.841666667,0.820833333,0.758333333,0.841666667,0.829166667,0.845833333,0.833333333,0.858333333,0.795833333,0.858333333,0.791666667,0.85,0.833333333,0.6875,0.833333333,0.8125,0.833333333, 0.8208333333333333],,
FALSE,(224,FALSE,TRUE,FALSE,16,0.001,0.0001,reLU6,30,0.993199129,0.96826087,0.01579349,0.018756221,[0.725,0.825,0.854166667,0.729166667,0.8,0.795833333,0.820833333,0.845833333,0.8125,0.808333333,0.808333333,0.829166667,0.829166667,0.825,0.808333333,0.775,0.779166667,0.816666667,0.8,0.841666667,0.816666667,0.833333333,0.85,0.775,0.825,0.804166667,0.804166667,0.7625,0.8, 0.8166666666666667],,
FALSE,(224,FALSE,FALSE,TRUE,16,0.001,0.0001,reLU6,30,0.976659412,0.940434783,0.041999533,0.065996792,[0.8125,0.766666667,0.829166667,0.825,0.8125,0.808333333,0.816666667,0.8125,0.816666667,0.8375,0.875,0.7375,0.791666667,0.845833333,0.866666667,0.820833333,0.833333333,0.845833333,0.808333333,0.85,0.825,0.791666667,0.758333333,0.825,0.791666667,0.725,0.7875,0.783333333,0.791666667, 0.7875],,
