extendedPadding, resizeDimensions, randRot, colorJitter, imgPerspective, batchSize, weightDecay, learningRate, activationFunction, epochs, TrainingAcc, ValAcc, TrainingAccSD, ValAccSD, FINAL_TEST_ACCURACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,(224, 224),FALSE,TRUE,TRUE,16,0.001,0.0001,reLU6,30,0.985554951,0.983043478,0.029153059,0.032270712,[0.8166666666666667,0.825,0.816666667,0.8375,0.733333333,0.829166667,0.845833333,0.8,0.791666667,0.8,0.816666667,0.816666667,0.816666667,0.820833333,0.8375,0.85,0.804166667,0.833333333,0.8125,0.8,0.783333333,0.783333333,0.820833333,0.820833333,0.808333333,0.791666667,0.833333333,0.795833333,0.833333333, 0.8375]
TRUE,(224, 224),FALSE,TRUE,TRUE,16,0.001,0.0001,reLU6,30,0.99513587,0.994347826,0.005686365,0.006164107,[0.9043824701195219,0.900398406,0.900398406,0.768924303,0.820717131,0.90438247,0.916334661,0.892430279,0.860557769,0.896414343,0.856573705,0.864541833,0.84063745,0.792828685,0.74501992,0.673306773,0.90438247,0.64940239,0.892430279,0.84063745,0.844621514,0.880478088,0.884462151,0.860557769,0.77689243,0.900398406,0.852589641,0.812749004,0.888446215, 0.8685258964143426]
TRUE,(180, 180),FALSE,TRUE,TRUE,16,0.001,0.0001,reLU6,30,0.993206522,0.991304348,0.012467467,0.014550609,[0.7330677290836654,0.868525896,0.912350598,0.884462151,0.920318725,0.896414343,0.900398406,0.908366534,0.880478088,0.900398406,0.721115538,0.860557769,0.896414343,0.816733068,0.892430279,0.876494024,0.760956175,0.860557769,0.824701195,0.856573705,0.856573705,0.888446215,0.760956175,0.832669323,0.828685259,0.824701195,0.888446215,0.876494024,0.828685259, 0.8286852589641435]
TRUE,(224, 224),FALSE,TRUE,TRUE,16,0.001,0.0001,reLU6,30,0.97548913,0.970434783,0.04813248,0.053737442,[0.7290836653386454,0.876494024,0.920318725,0.824701195,0.888446215,0.828685259,0.844621514,0.828685259,0.868525896,0.908366534,0.80876494,0.812749004,0.852589641,0.737051793,0.868525896,0.864541833,0.880478088,0.565737052,0.888446215,0.900398406,0.90438247,0.90438247,0.760956175,0.860557769,0.824701195,0.836653386,0.868525896,0.912350598,0.856573705, 0.6294820717131474]
TRUE,(250, 250),FALSE,TRUE,TRUE,16,0.001,0.0001,reLU6,30,0.99048913,0.990869565,0.019980496,0.017762346,[0.6733067729083665,0.844621514,0.784860558,0.820717131,0.800796813,0.908366534,0.828685259,0.848605578,0.804780876,0.812749004,0.900398406,0.876494024,0.884462151,0.768924303,0.888446215,0.824701195,0.828685259,0.87250996,0.741035857,0.601593625,0.87250996,0.888446215,0.87250996,0.709163347,0.884462151,0.884462151,0.876494024,0.812749004,0.80876494, 0.8167330677290837]
TRUE,(224, 224),TRUE,TRUE,TRUE,16,0.001,0.0001,reLU6,30,0.996861413,0.993043478,0.004922699,0.011033546,[0.7928286852589641,0.760956175,0.864541833,0.741035857,0.729083665,0.828685259,0.828685259,0.888446215,0.888446215,0.792828685,0.816733068,0.848605578,0.836653386,0.848605578,0.796812749,0.860557769,0.80876494,0.84063745,0.725099602,0.87250996,0.880478088,0.828685259,0.800796813,0.812749004,0.856573705,0.856573705,0.852589641,0.84063745,0.84063745, 0.8565737051792829]
TRUE,(224, 224),TRUE,TRUE,FALSE,16,0.001,0.0001,reLU6,30,0.982418478,0.976521739,0.030743305,0.036230725,[0.900398406374502,0.768924303,0.87250996,0.828685259,0.796812749,0.84063745,0.848605578,0.741035857,0.912350598,0.848605578,0.812749004,0.800796813,0.792828685,0.884462151,0.884462151,0.760956175,0.876494024,0.900398406,0.900398406,0.868525896,0.84063745,0.860557769,0.892430279,0.856573705,0.864541833,0.87250996,0.721115538,0.844621514,0.912350598, 0.8565737051792829]
TRUE,(224, 224),TRUE,FALSE,TRUE,16,0.001,0.0001,reLU6,30,0.992717391,0.992173913,0.00839564,0.010791021,[0.9123505976095617,0.780876494,0.764940239,0.868525896,0.589641434,0.709163347,0.896414343,0.784860558,0.772908367,0.832669323,0.864541833,0.87250996,0.880478088,0.84063745,0.824701195,0.828685259,0.860557769,0.880478088,0.749003984,0.892430279,0.852589641,0.844621514,0.788844622,0.772908367,0.816733068,0.868525896,0.812749004,0.868525896,0.844621514, 0.848605577689243]
TRUE,(224, 224),TRUE,FALSE,FALSE,16,0.001,0.0001,reLU6,30,0.977228261,0.950869565,0.037536568,0.051812152,[0.9043824701195219,0.87250996,0.900398406,0.768924303,0.860557769,0.74501992,0.780876494,0.892430279,0.80876494,0.816733068,0.860557769,0.852589641,0.900398406,0.828685259,0.621513944,0.912350598,0.864541833,0.792828685,0.864541833,0.848605578,0.844621514,0.916334661,0.796812749,0.884462151,0.800796813,0.880478088,0.892430279,0.864541833,0.87250996, 0.848605577689243]
TRUE,(224, 224),FALSE,TRUE,TRUE,16,0.001,0.0001,reLU6,30,0.993423913,0.992173913,0.008445624,0.010614396,[0.9123505976095617,0.896414343,0.888446215,0.908366534,0.856573705,0.848605578,0.832669323,0.764940239,0.896414343,0.868525896,0.832669323,0.860557769,0.864541833,0.609561753,0.864541833,0.900398406,0.84063745,0.836653386,0.84063745,0.844621514,0.796812749,0.90438247,0.880478088,0.820717131,0.824701195,0.820717131,0.816733068,0.868525896,0.844621514, 0.8167330677290837]
TRUE,(224, 224),FALSE,TRUE,FALSE,16,0.001,0.0001,reLU6,30,0.974836957,0.963043478,0.057880333,0.048736396,[0.900398406374502,0.816733068,0.888446215,0.581673307,0.912350598,0.820717131,0.816733068,0.864541833,0.892430279,0.884462151,0.828685259,0.868525896,0.856573705,0.880478088,0.84063745,0.84063745,0.816733068,0.721115538,0.84063745,0.760956175,0.804780876,0.856573705,0.832669323,0.812749004,0.828685259,0.812749004,0.764940239,0.868525896,0.784860558, 0.8167330677290837]
TRUE,(224, 224),FALSE,FALSE,TRUE,16,0.001,0.0001,reLU6,30,0.991847826,0.957826087,0.007263115,0.011007816,[0.9043824701195219,0.677290837,0.844621514,0.876494024,0.721115538,0.900398406,0.908366534,0.756972112,0.860557769,0.87250996,0.852589641,0.71314741,0.864541833,0.876494024,0.868525896,0.832669323,0.804780876,0.908366534,0.856573705,0.896414343,0.804780876,0.880478088,0.800796813,0.87250996,0.864541833,0.856573705,0.852589641,0.892430279,0.864541833, 0.8725099601593626]
